date,entry_id,n_picks,mult,stake,leg_idx,pitcher,game,market,side,line,lam,model_p,boost,rw_proj,rw_agree,actual_ks,leg_won
2026-07-05,2026-07-05-1,3,6.000,12.50,0,Nick Lodolo,BAL@CIN,strikeouts,less,5.5,4.292,0.7260,1.0,,,,
2026-07-05,2026-07-05-1,3,6.000,12.50,1,Bobby Witt Jr.,PHI@KC,hits,more,0.5,1.143,0.6813,1.0,,,,
2026-07-05,2026-07-05-1,3,6.000,12.50,2,Ryan Weathers,MIN@NYY,strikeouts,less,5.5,4.812,0.6460,1.0,,,,
2026-07-05,2026-07-05-2,3,6.000,12.50,0,Nick Lodolo,BAL@CIN,strikeouts,less,5.5,4.292,0.7260,1.0,,,,
2026-07-05,2026-07-05-2,3,6.000,12.50,1,Bobby Witt Jr.,PHI@KC,hits,more,0.5,1.143,0.6813,1.0,,,,
2026-07-05,2026-07-05-2,3,6.000,12.50,2,Vladimir Guerrero Jr.,TOR@SEA,total_bases,less,1.5,1.326,0.6349,1.0,,,,
2026-07-05,2026-07-05-3,3,6.000,12.50,0,Nick Lodolo,BAL@CIN,strikeouts,less,5.5,4.292,0.7260,1.0,,,,
2026-07-05,2026-07-05-3,3,6.000,12.50,1,Bobby Witt Jr.,PHI@KC,hits,more,0.5,1.143,0.6813,1.0,,,,
2026-07-05,2026-07-05-3,3,6.000,12.50,2,Corey Seager,DET@TEX,total_bases,less,1.5,1.438,0.6023,1.0,,,,
2026-07-05,2026-07-05-4,3,6.000,12.50,0,Nick Lodolo,BAL@CIN,strikeouts,less,5.5,4.292,0.7260,1.0,,,,
2026-07-05,2026-07-05-4,3,6.000,12.50,1,Bobby Witt Jr.,PHI@KC,hits,more,0.5,1.143,0.6813,1.0,,,,
2026-07-05,2026-07-05-4,3,6.000,12.50,2,Joe Ryan,MIN@NYY,strikeouts,more,6.5,7.722,0.6096,1.0,,,,
